age,total_children,feelings_life,sex,pop_center,education,self_rated_health,self_rated_mental_health,regilion_importance,income_family,income_respondent
52.7,1,8,0,3,2,5,5,2,2,2
51.1,5,10,1,3,3,3,3,0,4,1
63.6,5,8,0,2,6,4,3,4,4,2
80,1,10,0,3,2,4,4,1,5,3
28,0,8,1,3,4,3,3,1,3,1
63,2,9,0,3,2,5,4,4,3,1
58.8,2,4,0,3,1,1,1,2,1,1
80,7,10,0,3,1,3,4,2,1,1
63.8,0,8,0,3,2,4,4,4,1,1
25.2,1,5,1,2,1,1,1,2,1,1
15.7,0,10,1,3,1,5,5,4,1,1
40.3,0,6,0,2,5,4,3,1,2,2
56.8,4,6,0,1,2,3,4,4,4,1
26.8,2,10,0,2,3,4,4,3,4,2
66.8,1,6,0,2,2,2,2,2,2,2
30.6,0,9,0,3,6,5,5,3,2,2
68.8,7,9,1,2,2,5,3,2,6,6
33.8,0,8,0,3,6,3,3,1,4,4
73.2,1,10,1,3,6,2,3,1,4,3
39.1,3,9,1,3,6,5,5,1,6,4
64.8,2,10,1,3,7,4,5,1,6,2
25.5,0,8,1,3,4,5,5,1,2,2
49.4,0,8,1,2,6,4,4,3,4,4
16.3,0,7,1,3,1,3,4,1,6,1
63.5,0,8,0,3,4,4,4,4,2,2
78.4,0,9,1,3,6,5,3,3,4,4
30.8,0,7,0,3,7,5,4,3,5,5
19.1,0,2,0,3,1,4,5,3,6,1
40.8,3,7,0,3,6,4,4,2,2,2
43.9,0,9,1,3,2,3,4,2,3,2
40.7,2,8,0,3,6,3,4,2,6,2
80,2,7,1,3,1,3,4,2,2,2
16.8,0,8,1,2,1,5,5,4,1,1
80,3,10,0,3,2,4,4,4,2,2
71.4,2,8,1,3,5,4,4,4,3,3
71.6,2,10,1,3,1,2,3,3,2,1
29.6,0,7,1,3,6,4,4,1,4,3
74.9,0,8,0,3,7,4,4,2,3,3
18.6,0,5,1,3,1,5,4,1,6,1
54.3,3,10,1,3,2,5,5,4,4,1
80,2,10,1,2,1,3,3,3,2,2
37,1,9,0,3,5,5,5,4,5,3
27.3,1,8,0,3,4,3,3,4,2,2
68.9,4,10,1,3,6,5,5,1,5,3
53.6,0,8,0,1,1,2,2,4,3,1
63.4,3,10,1,3,2,5,5,4,6,6
34.5,1,7,1,1,6,3,4,3,3,3
36.2,2,8,1,3,3,2,3,1,5,5
80,6,8,0,2,1,3,0,4,2,2
